식물분류,추천국명,비추천국명,추천영문명,비추천영문명,종분류,구분,과명(Engler),과국명(Engler),과명(APG),과국명(APG),학명,전체학명,특산식물구분,국가적색목록평가,외래식물구분,생태계교란종여부,외래화우려여부,재배여부,기본형태구분,번식형태구분,최종수정일
자생식물,가거개별꽃,,Gageo false-starwort,,변종,정명,Caryophyllaceae,석죽과,Caryophyllaceae,석죽과,Pseudostellaria palibiniana var. gageodoensis M.Kim & H.Jo,Pseudostellaria palibiniana (Takeda) Ohwi var. gageodoensis M.Kim & H.Jo,특산식물,,,N,N,,초본,피자(쌍자엽),2024/11/12
자생식물,가거꼬리고사리,,Brown scaled spleenwort,,종,정명,Aspleniaceae,꼬리고사리과,Aspleniaceae,꼬리고사리과,Asplenium yoshinagae Makino,Asplenium yoshinagae Makino,,,,N,N,,초본,양치류,2022/03/28
자생식물,가거꼬리고사리,,Brown scaled spleenwort,,변종,이명,Aspleniaceae,꼬리고사리과,Aspleniaceae,꼬리고사리과,Asplenium indicum var. yoshinagae (Makino) Ching & S.H.Wu,Asplenium indicum Sledge var. yoshinagae (Makino) Ching & S.H.Wu,,,,N,N,,초본,양치류,2022/03/28
자생식물,가거꼬리고사리,,Brown scaled spleenwort,,변종,이명,Aspleniaceae,꼬리고사리과,Aspleniaceae,꼬리고사리과,Asplenium planicaule var. yoshinagae (Makino) Tagawa,Asplenium planicaule Wall. ex Mett. var. yoshinagae (Makino) Tagawa,,,,N,N,,초본,양치류,2022/03/28
자생식물,가거꼬리고사리,,Brown scaled spleenwort,,종,이명,Aspleniaceae,꼬리고사리과,,,Tarachia yoshinagae (Makino) H.Itô,Tarachia yoshinagae (Makino) H.Itô,,,,N,N,,초본,양치류,2026/06/18
자생식물,가거애기닥나무,,Gageo paper mulberry,,품종,정명,Moraceae,뽕나무과,Moraceae,뽕나무과,Broussonetia × kazinoki f. koreana M.Kim,Broussonetia × kazinoki Siebold f. koreana M.Kim,,,,N,N,,목본,피자(쌍자엽),2024/01/09
자생식물,가거양지꽃,,Gageo cinquefoil,,종,정명,Rosaceae,장미과,Rosaceae,장미과,Potentilla gageodoensis M.Kim,Potentilla gageodoensis M.Kim,특산식물,,,N,N,,초본,피자(쌍자엽),2023/11/01
자생식물,가거줄사초,,Greater brown sedge,,종,정명,Cyperaceae,사초과,Cyperaceae,사초과,Carex brunnea Thunb.,Carex brunnea Thunb.,,,,N,N,,초본,피자(단자엽),2022/03/28
자생식물,가거줄사초,,Greater brown sedge,,종,이명,Cyperaceae,사초과,,,Olotrema brunnea (Thunb.) Raf.,Olotrema brunnea (Thunb.) Raf.,,,,N,N,,초본,피자(단자엽),2022/03/28
자생식물,가는가래,"좀가래,가는잎가래",Little-leaf pondweed,,종,정명,Potamogetonaceae,가래과,Potamogetonaceae,가래과,Potamogeton cristatus Regel & Maack,Potamogeton cristatus Regel & Maack,,,,N,N,,초본,피자(단자엽),2022/03/28
