순번,과명,과국명,속명개수,종
1,Acanthaceae,쥐꼬리망초과,23,60
2,Aceraceae,단풍나무과,2,229
3,Achariaceae,아카리아과,1,1
4,Actinidiaceae,다래나무과,1,10
5,Adiantaceae,,1,2
6,Adoxaceae,연복초과,1,1
7,Agavaceae,용설란과,4,7
8,Aizoaceae,번행초과,39,139
9,Alangiaceae,박쥐나무과,1,2
10,Alismataceae,택사과,5,11
11,Aloaceae,,2,10
12,Alstroemeriaceae,알스트로메리아과,1,17
13,Amaranthaceae,비름과,8,36
14,Amaryllidaceae,수선화과,27,185
15,Anacardiaceae,옻나무과,14,38
16,Annonaceae,뽀뽀나무과,9,23
17,Anthericaceae,,1,1
18,Apiaceae,산형과,70,196
19,Apocynaceae,협죽도과,42,109
20,Aponogetonaceae,,1,1
21,Aquifoliaceae,감탕나무과,1,387
22,Araceae,천남성과,36,196
23,Araliaceae,두릅나무과,17,181
24,Araucariaceae,아라우카리아과,3,7
25,Arecaceae,야자나무과,38,60
26,Aristolochiaceae,쥐방울덩굴과,4,25
27,Asclepiadaceae,박주가리과,6,79
28,Asparagaceae,비짜루과,5,11
29,Asphodelaceae,아스포델루스과,5,7
30,Aspleniaceae,꼬리고사리과,2,48
31,Asteraceae,국화과,212,951
32,Athyriaceae,개고사리과,4,69
33,Balsaminaceae,봉선화과,1,13
34,Basellaceae,낙규과,2,2
35,Begoniaceae,베고니아과,1,45
36,Berberidaceae,매자나무과,9,118
37,Betulaceae,자작나무과,5,90
38,Bignoniaceae,능소화과,19,43
39,Bixaceae,홍목과,1,1
40,Blechnaceae,새깃아재비과,3,14
41,Bombacaceae,물밤나무과,4,8
42,Boraginaceae,지치과,34,88
43,Brassicaceae,배추과,57,206
44,Bromeliaceae,파인애플과,24,169
45,Burmanniaceae,버어먼초과,1,2
46,Burseraceae,감람나무과,5,20
47,Butomaceae,부토마과,1,1
48,Buxaceae,회양목과,3,31
49,Byblidaceae,비블리스과,1,1
50,Cabombaceae,어항마름과,2,2
51,Cactaceae,선인장과,62,223
52,Callitrichaceae,별이끼과,1,2
53,Calophyllaceae,칼로필룸과,1,1
54,Calycanthaceae,받침꽃과,3,15
55,Campanulaceae,초롱꽃과,18,166
56,Cannabaceae,삼과,2,4
57,Cannaceae,홍초과,1,14
58,Capparaceae,풍접초과,4,10
59,Caprifoliaceae,인동과,16,194
60,Cardiopteridaceae,카르디옵테리스과,1,1
61,Caricaceae,파파야과,1,2
62,Caryophyllaceae,석죽과,23,240
63,Casuarinaceae,카수아리나과,2,6
64,Celastraceae,노박덩굴과,8,62
65,Cephalotaceae,,1,1
66,Cephalotaxaceae,개비자나무과,1,8
67,Ceratophyllaceae,붕어마름과,1,3
68,Cercidiphyllaceae,계수나무과,1,5
69,Chenopodiaceae,명아주과,13,47
70,Chloranthaceae,홀아비꽃대과,2,5
71,Chrysobalanaceae,코코플럼과,2,2
72,Cistaceae,키스투스과,3,19
73,Clethraceae,매화오리나무과,1,13
74,Clusiaceae,물레나물과,5,48
75,Cneoraceae,크네오룸과,1,1
76,Colchicaceae,콜치카과,2,2
77,Combretaceae,콤브레타과,3,7
78,Commelinaceae,닭의장풀과,14,49
79,Convallariaceae,,2,2
80,Convolvulaceae,메꽃과,10,42
81,Coriariaceae,코리아리아과,1,1
82,Cornaceae,층층나무과,5,88
83,Costaceae,코스타과,2,2
84,Crassulaceae,돌나물과,27,318
85,Cucurbitaceae,박과,23,43
86,Cunoniaceae,쿠노니아과,2,2
87,Cupressaceae,측백나무과,18,345
88,Cyatheaceae,나무고사리과,2,4
89,Cycadaceae,소철과,2,5
90,Cyperaceae,사초과,23,427
91,Cystopteridaceae,한들고사리과,2,4
92,Daphniphyllaceae,굴거리나무과,1,5
93,Datiscaceae,다티스카과,1,1
94,Davalliaceae,넉줄고사리과,1,6
95,Dennstaedtiaceae,잔고사리과,5,12
96,Diapensiaceae,암매과,1,2
97,Didieraceae,용수과,1,2
98,Didiereaceae,용수과,1,1
99,Dilleniaceae,딜레니아과,2,3
100,Dioscoreaceae,마과,1,11
101,Dipsacaceae,산토끼꽃과,7,27
102,Droseraceae,끈끈이주걱과,3,109
103,Dryopteridaceae,관중과,7,136
104,Ebenaceae,감나무과,1,15
105,Elaeagnaceae,보리수나무과,2,22
